nama_sarpras,kecamatan,kelurahan,alamat_lokasi,klasifikasi,konstruksi,kondisi
Dipo sampah,Grogol petamburan,tanjung duren utara,Jl. Tanjung Duren Utara 4,TPST,Beton,Rusak Berat
Dipo sampah,Grogol petamburan,tanjung duren utara,Jl. Tanjung Duren Utara 2,TPST,Beton,Baik
Dipo sampah,Grogol petamburan,grogol,Jl. Mekaliwe,TPST,Beton,Baik
Dipo sampah,Grogol petamburan,tanjung duren utara,Jl. Arjuna,TPST,Beton,Baik
Dipo sampah,Kebon jeruk,kedoya utara,Jl. Kedoya Baru,TPST,Beton,Baik
Dipo sampah,Kebon jeruk,kebon jeruk,Kel. Kebon Jeruk,TPST,Beton,Baik
Dipo sampah,Tambora,tanah sereal,Jl. Hanura,TPST,Beton,Baik
Dipo sampah,Kalideres,pegadungan,Jl. Komp. Citra Garden I,TPST,Beton,Baik
Dipo sampah,Palmerah,palmerah utara,Pal Merah Utara 3,TPST,Beton,Rusak Berat
Dipo sampah,Cengkareng,cengkareng timur,Komp. Perumnas,TPST,Beton,dibongkar
Dipo sampah,Kembangan,meruya utara,Komp. Taman Aries,TPST,Beton,Baik
Dipo sampah,Kalideres,Pegadungan,Jl. Citra Garden III,TPST,Beton,Rusak Berat
Dipo sampah,Kalideres,Pegadungan,Jl. Citra Garden V,TPST,Beton,Rusak Berat
Dipo sampah,Cengkareng,Cengkareng Barat,Jl. Asrama Karyawan,TPST,Beton,Rusak Berat
Dipo sampah,Grogol petamburan,Tanjung Duren Utara,Jl. Tanjung Duren Utara IV,TPST,Beton,Baik
Dipo sampah,Palmerah,Kemanggisan,Jl. Komp. Hankam Slipi,TPST,Beton,Rusak Berat
Dipo sampah,Kebon jeruk,Kedoya Utara,Jl. Inspeksi Kel. Sekretaris,TPST,Beton,Rusak Berat
Dipo sampah,Kalideres,Kalideres,Jl. Citra II,TPST,Beton,Rusak Berat
Dipo sampah,Kalideres,Kalideres,Jl. Komp Citra Exstension,TPST,Beton,Rusak Berat
Dipo sampah,Palmerah,Kemanggisan,Jl. Kemaggisan Illir,TPST,Beton,Rusak Berat
Dipo sampah,Grogol petamburan,Wijaya Kusuma,Jl. Indraloka ,TPST,Beton,Baik
Dipo sampah,Kembangan,Kembangan,Jl. Taman Kota Rw. 15 Kel.Kembangan,TPST,Beton,Baik
Dipo sampah,Tambora,Kali Anyar,Jl. Kali Anyar X,TPST,Beton,Rusak Berat
Dipo sampah,Kembangan,Meruya,Jl. Meruya Utara Rt. 02/10,TPST,Beton,Rusak Berat
Dipo sampah,Palmerah,Kemanggisan,Jl. Kemanggisan RT. 05/02,TPST,Beton,Rusak Berat
Dipo sampah,Cengkareng,Duri Kosambi,Kel Duri Kosambi Rt. 05/02,TPST,Beton,Rusak Ringan
Dipo sampah,Kalideres,Pegadungan,Kel. Pegadungan,TPST,Beton,Rusak Berat
Dipo sampah,Cengkareng,Cengkareng Timur,Kel. Cengkareng Timur,TPST,Beton,Rusak Ringan
Dipo sampah,Palmerah,Kota Bambu Utara,Jl. Palmerah Utara III,TPST,Beton,Rusak Berat
Dipo sampah,Grogol petamburan,Tanjung Duren,Kec. Grogol Petamburan,TPST,Beton,Baik
Dipo sampah,Cengkareng,Duri Kosambi,Rw 009 Kel. Duri Kosambi,TPST,Beton,Baik
Dipo sampah,Grogol Petamburan,Jelambar Baru,Rw 007 Kel Jelambar Baru,TPST,Beton,Rusak Berat
Dipo sampah,Grogol Petamburan,Jelambar Baru,Rw 012 Kel Jelambar Baru,TPST,Beton,Baik
Dipo sampah,Cengkareng,,Cengkareng,TPST,Beton,Baik
Dipo sampah,Grogol Petamburan,Duri Utara,Jl. Stasiun Angke,TPST,Beton,Rusak Berat
Transito sampah,Kalideres,Pegadungan,Rw 011 Kel Pegadungan,TPST,Beton,Rusak Berat
Transito sampah,Tamansari,Keagungan,Kp. Jawa Rw. 01,TPST,Beton,Rusak Berat
Transito sampah,Tamansari,Mangga Besar,Jl. Kebon Jeruk Maphar,TPST,Beton,Rusak Berat
Transito sampah,Tambora,Roa Malaka,Jl. Perniagaan,TPST,Beton,Baik
Transito sampah,Kembangan,Meruya Selatan,Meruya Selatan,TPST,Beton,Rusak Berat
Transito sampah,Cengkareng,,Jl. Daan Mogot Rw 01,TPST,Beton,Baik
Transito sampah,Kebon jeruk,Kebon Jeruk,Komp. DPR II Kebon Jeruk 02,TPST,Beton,Rusak Berat
Transito sampah,Kebon jeruk,Kebon Jeruk,Jl. BPK III kebon Jeruk Rw. II,TPST,Beton,Baik
Transito sampah,Palmerah,Kemanggisan,Komp. Hankam Rw. 04,TPST,Beton,Rusak Berat
Transito sampah,Palmerah,Kemanggisan,Kemanggisan Illir 18/08,TPST,Beton,Rusak Berat
Transito sampah,Kembangan,Meruya,Komp. Taman Aries 003/03,TPST,Beton,Rusak Berat
Transito sampah,Kembangan,Kembangan Selatan,Komp. Puri Indah,TPST,Beton,Rusak Berat
Transito sampah,Kebon jeruk,Kedoya Utara,Jl. Green Vila,TPST,Beton,Rusak Berat
Transito sampah,Kebon jeruk,Kebon Jeruk,Jl. Inspeksi 005/03,TPST,Beton,Baik
Transito sampah,Tambora,Pekojan,Jl. Bandengan Utara Pekojan,TPST,Beton,Rusak Berat
Transito sampah,Grogol Petamburan,Tanjung Duren,Jl. Kali Sekretris,TPST,Beton,Baik
Transito sampah,Cengkareng,Kedaung,Jl. Komp Pakuwon,TPST,Beton,Baik
Transito sampah,Kebon jeruk,Kedoya Utara,Jl. Green Garden,TPST,Beton,Baik
Transito sampah,Kalideres,Kalideres,Kec. Kalideres/ Terminal Kalideres,TPST,Beton,Rusak Berat
Transito sampah,Cengkareng,Rawa Buaya,Kel. Rawa Buaya,TPST,Beton,Baik
Transito sampah,Kalideres,Semanan,Kelurahan Semanan Pasar Hipli,TPST,Beton,Rusak Berat
Transito sampah,Tamansari,Krukut,Jl. Ketapang Rw. 07,TPST,Beton,Rusak Berat
Transito sampah,Tamansari,Mangga Besar,Jl. Taman Sari IV,TPST,Beton,Rusak Berat
Transito sampah,Kebon jeruk,Kebon Jeruk,Jl. Kebon Jeruk,TPST,Beton,Rusak Berat
Transito sampah,Kebon jeruk,Kedoya Utara,Jl. Pinggir Kali,TPST,Beton,Baik
Dipo sampah,Kebon jeruk,Kedoya Selatan,Jl. Baru Kedoya,TPST,Beton,Rusak Berat
Dipo sampah,Kalideres,Pegadungan,Kel.Pegadungan Rw 01,TPST,Beton,Baik
Transito sampah,Tamansari,Pinangsia,Kel.Pinangsia,TPST,Beton,Baik
Dipo sampah,Cengkareng,Cengkareng Timur,Kec.Cengkareng Rw 07,TPST,Beton,Rusak Ringan
Dipo sampah,Kebon jeruk,Kebon Jeruk,Kec. Keb. Jeruk RW. 08,TPST,Beton,Baik
Transito sampah,Palmerah,Slipi,Kel. Slipi Rw. 06 ,TPST,Beton,Baik
Dipo sampah,Kalideres,Kalideres,Kel. Kalideres Rw.09,TPST,Beton,Baik
Transito sampah,Palmerah,Sukabumi Selatan,Kel. Sukabumi Selatan Rw. 06 (Komp. Bulog),TPST,Beton,Baik
Dipo sampah ramah lingkungan,Cengkareng,Duri Kosambi,Kel. Duri Kosambi ,TPST,Beton,Baik
Dipo sampah ramah lingkungan,Cengkareng,Cengkareng Barat,Kel. Cengkareng Barat Rw. 05,TPST,Beton,Baik
Dipo sampah ramah lingkungan,Cengkareng,Cengkareng Barat,Kel. Cengkareng Barat Rw. 015,TPST,Beton,Baik
