kode,kode_wilayah,wilayah,sektor,nama_sektor,kecamatan,kode_lurah,Kelurahan,kode_panggil,nama_bangunan,jumlah,peruntukan,status,alamat_lengkap,telepon,kode_pos,tahun_pembangunan,luas_tanah_m2,luas_bangunan_m2,tahun_rehab_terakhir,nilai_pembaruan_rehab_tahun_2008,rincian_rehab_pembangunan,keterangan,Latitude,Longitude
4.16.7,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,6,Sektor Tebet,Tebet,38,Menteng Dalam,4.16.7,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12870,1995,273,132,,,,,,
4.17.1,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,7,Sektor Setiabudi,Setiabudi,39,Setiabudi,4.17.1,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12910,,,,,,,,,
4.17.2,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,7,Sektor Setiabudi,Setiabudi,40,Kuningan Timur,4.17.2,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12950,,,,,,,,,
4.17.3,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,7,Sektor Setiabudi,Setiabudi,41,Karet Kuningan,4.17.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12940,,,,,,,,,
4.17.4,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,7,Sektor Setiabudi,Setiabudi,42,Karet,4.17.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12920,,,,,,,,,
4.17.5,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,7,Sektor Setiabudi,Setiabudi,43,Karet Semanggi,4.17.5,Pos Mabes,0,Belum ada Pos/Sektor,None,,,12930,,,,,,,,,
4.17.6,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,7,Sektor Setiabudi,Setiabudi,44,Guntur,4.17.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12980,,,,,,,,,
4.17.7,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,7,Sektor Setiabudi,Setiabudi,45,Menteng Atas,4.17.7,Pos Casablangka,1,Pos Pemadam,Dijaga,Jl. Raya Casablanca,,12870,1995,273,132,,,,,-6.221973,106.844955
4.17.8,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,7,Sektor Setiabudi,Setiabudi,46,Pasar Manggis,4.17.8,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12970,,,,,,,,,
4.18.1,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,8,Sektor Pancoran,Pancoran,47,Pancoran,4.18.1,Pos Fatmawati,0,Belum ada Pos/Sektor,None,,,12780,,,,,,,,-6.298004,106.794802
4.18.2,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,8,Sektor Pancoran,Pancoran,48,Duren Tiga,4.18.2,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12760,,,,,,,,,
4.18.3,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,8,Sektor Pancoran,Pancoran,49,Rawajati,4.18.3,Pos Kalibata ,0,Belum ada Pos/Sektor,None,Komp. MPR Kalibata,,12750,,,,,,,,-6.253931,106.851058
4.18.4,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,8,Sektor Pancoran,Pancoran,50,Pangadegan,4.18.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12770,,,,,,,,,
4.18.5,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,8,Sektor Pancoran,Pancoran,51,Kalibata,4.18.5,Pos Kalibata ,1,Pos Pemadam,Dijaga,"Komp. DPRMPR, Jl. Pahlawan",,12740,1990,193,99,2007,,,,-6.253926,106.851082
4.18.6,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,8,Sektor Pancoran,Pancoran,52,Cikoko,4.18.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12770,,,,,,,,,
4.19.1,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,9,Sektor Pasar Minggu,Pasar Minggu,58,Jatipadang,4.19.1,Kantor sektor Pasar Minggu,1,Kantor Sektor,Dijaga,Jl. Salihara,021 7817886,12540,2008,,,,,,,-6.284369,106.83783
4.19.2,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,9,Sektor Pasar Minggu,Pasar Minggu,53,Pejaten Barat,4.19.2,Pos Pejaten,1,Pos Pemadam,Dijaga,Jl. Pejaten Raya,,12510,1990,800,99,2007,,,,,
4.19.3,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,9,Sektor Pasar Minggu,Pasar Minggu,54,Pasar Minggu,4.19.3,Pos Pasar Minggu,1,Pos Pemadam,Dijaga,Jl. Lenteng Agung,,12520,1980,915,,,,,Pembangunan TA. 2008,-6.295818,106.840926
4.19.4,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,9,Sektor Pasar Minggu,Pasar Minggu,55,Ragunan,4.19.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12550,,,,,,,,,
4.19.5,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,9,Sektor Pasar Minggu,Pasar Minggu,56,Kebagusan,4.19.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12520,,,,,,,,,
4.19.6,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,9,Sektor Pasar Minggu,Pasar Minggu,57,Pejaten Timur,4.19.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12510,,,99,2003,,,,,
4.19.7,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,9,Sektor Pasar Minggu,Pasar Minggu,59,Cilandak Timur,4.19.7,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12560,,,,,,,,,
4.20.1,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,10,Sektor Jagakarsa,Jagakarsa,60,Jagakarsa,4.20.1,Kantor Sektor Jagakarsa,1,Kantor Sektor,Dijaga,Jl. M. Kahfi I,021 78883788,12620,2006,1044,216,,462800000, Pemasangan Turab        ' Peninggian Halaman       ' Parkir Motor,,-6.315607,106.81167
4.20.2,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,10,Sektor Jagakarsa,Jagakarsa,63,Ciganjur,4.20.2,Pos Ciganjur,1,Pos Pemadam,Dijaga,Jl. Brigif,,12630,,,,,,,Swadaya masyarakat / Status dalam Pembangunan TA. 2008,-6.344737,106.79876
4.20.3,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,10,Sektor Jagakarsa,Jagakarsa,64,Srengseng Sawah,4.20.3,Pos Srengseng Sawah,1,Pos Pemadam,Dijaga,Jl. Srengseh Sawah ,,12640,1995,941,99,1993,,,,-6.357035,106.809716
4.20.4,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,10,Sektor Jagakarsa,Jagakarsa,61,Cipedak,4.20.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12630,,,,,,,,,
4.20.5,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,10,Sektor Jagakarsa,Jagakarsa,62,Lenteng Agung,4.20.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12610,,,,,,,,,
4.20.6,4,Sudin DamkarPB Kota Administrasi Jakarta Selatan,10,Sektor Jagakarsa,Jagakarsa,65,Tanjung Barat,4.20.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,12530,,,,,,,,,
5.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,1,Sektor Matraman,Matraman,1,Kebon Manggis,5.1,Kantor Sudin ,1,Kantor Sudin,Dijaga,Jl.Matraman Raya No. 132,021 8582150,13150,1975,1974,766,2006,550000000,,,-6.2105401,106.8595011
5.11.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,1,Sektor Matraman,Matraman,2,Utan Kayu Utara,5.11.2,Pos Utan Kayu,1,Pos Pemadam,Tidak Dijaga,Jl. Pengayoman,,13120,1970,150,110,2002,,,tidak dijaga 1998 (bukan tanah pemda),-6.194242,106.869008
5.11.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,1,Sektor Matraman,Matraman,3,Pal Meriam,5.11.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13140,,,,,,,,,
5.11.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,1,Sektor Matraman,Matraman,4,Pisangan Baru,5.11.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13110,,,,,,,,,
5.11.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,1,Sektor Matraman,Matraman,5,Kayu Manis,5.11.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13130,,,,,,,,,
5.11.6,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,1,Sektor Matraman,Matraman,6,Utan Kayu Selatan,5.11.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13120,,,,,,,,,
5.12,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,2,Sektor Pulogadung,Pulogadung,7,Jati,5.12,Kantor Sektor Pulo Gadung,1,Kantor Sektor,Dijaga,Jl. Pemuda,,13220,2006,982,486,,,,,,
5.12.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,2,Sektor Pulogadung,Pulogadung,12,Pulogadung,5.12.1,Pos Pulo Gadung,1,Pos Pemadam,Dijaga,Jl. Pulo Lentut,,13260,1974,320,143,2006,187000000,,,-6.184272,106.917205
5.12.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,2,Sektor Pulogadung,Pulogadung,8,Kayu Putih,5.12.2,Pos Pulo Mas,1,Pos Pemadam,Dijaga,Jl. Pulo Mas Barat VI ,,13210,1984,400,150,2007,175000000,,,-6.179562,106.880907
5.12.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,2,Sektor Pulogadung,Pulogadung,9,Pisangan Timur,5.12.3,Pos Cipinang,1,Pos Pemadam,Dijaga,Jl. Pasar Induk Cipinang ,,13230,1987,150,150,1993,,,,,
5.12.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,2,Sektor Pulogadung,Pulogadung,10,Cipinang,5.12.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13240,,,,,,,,,
5.12.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,2,Sektor Pulogadung,Pulogadung,11,Jatinegara Kaum,5.12.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13250,,,,,,,,,
5.12.6,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,2,Sektor Pulogadung,Pulogadung,11,Jatinegara,5.12.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,0,,,,,,,,,
5.12.7,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,2,Sektor Pulogadung,Pulogadung,13,Rawamangun,5.12.7,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13220,,,,,,,,,
5.13.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,3,Sektor Cakung,Cakung,14,Cakung Barat,5.13.1,Kantor Sektor Cakung,1,Kantor Sektor,Dijaga,Jl. Raya Tipar Cakung /Cakung Barat,,13910,2006,785,309,,,,,,
5.13.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,3,Sektor Cakung,Cakung,15,Jatinegara,5.13.2,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13930,,,,,,,,,
5.13.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,3,Sektor Cakung,Cakung,16,Pulo Gebang,5.13.3,Pos Walikota,1,Pos Pemadam,Dijaga,Jl. Area Kantor Walikota,,13950,1996,400,170,,,,,-6.213042,106.945125
5.13.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,3,Sektor Cakung,Cakung,17,Rawa Terate,5.13.4,Pos Cakung,0,Pos Pemadam,Tidak Dijaga,Jl. Raya Bekasi  KM 23,,13920,1974,250,168,2002,,,Tidak dijaga (1999),,
5.13.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,3,Sektor Cakung,Cakung,18,Penggilingan ,5.13.5,Pos PIK,1,Pos Pemadam,Dijaga,Komp. PIK Penggilingan,,13940,1974,290,175,2006,187000000,,,-6.203319,106.929837
5.13.6,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,3,Sektor Cakung,Cakung,19,Ujung Menteng,5.13.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13960,,,,,,,,,
5.13.7,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,3,Sektor Cakung,Cakung,20,Cakung Timur,5.13.7,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13910,,,,,,,,,
5.14.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,4,Sektor Jatinegara,Jatinegara,21,Bidara Cina,5.14.1,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13330,,,,,,,,,
5.14.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,4,Sektor Jatinegara,Jatinegara,22,Cipinang Cimpedak,5.14.2,Pos Jatinegara,0,Belum ada Pos/Sektor,None,,,13340,,,,,,,,,
5.14.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,4,Sektor Jatinegara,Jatinegara,23,Cipinang Muara,5.14.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13420,,,,,,,,,
5.14.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,4,Sektor Jatinegara,Jatinegara,24,Cipinang Besar Utara,5.14.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13410,,,,,,,,,
5.14.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,4,Sektor Jatinegara,Jatinegara,25,Cipinang Besar Selatan,5.14.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13410,,,,,,,,,
5.14.6,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,4,Sektor Jatinegara,Jatinegara,26,Rawa Bunga,5.14.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13350,,,,,,,,,
5.14.7,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,4,Sektor Jatinegara,Jatinegara,27,Bali Mester,5.14.7,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13310,,,,,,,,,
5.14.8,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,4,Sektor Jatinegara,Jatinegara,28,Kampung Mester/Melayu,5.14.8,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13320,,,,,,,,,
5.15.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,5,Sektor Duren Sawit,Duren Sawit,29,Pondok Kelapa,5.15.1,Pos Duren Sawit,1,Pos Pemadam,Dijaga,Jl. Raya Pondok Kelapa ,,13450,1982,322,150,2005,200000000,,,,
5.15.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,5,Sektor Duren Sawit,Duren Sawit,30,Pondok Bambu,5.15.2,Pos Pondok Bambu,1,Pos Pemadam,Dijaga,Jl. Balai Rakyat,,13430,1991,400,180,2005,200000000,,,-6.224913,106.902441
5.15.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,5,Sektor Duren Sawit,Duren Sawit,31,Duren Sawit,5.15.3,Pos Pondok Kelapa,1,Pos Pemadam,Dijaga,Jl. Swadaya Area Kelurahan Duren Sawit,,13440,1982,240,180,,,,,-6.239854,106.934592
5.15.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,5,Sektor Duren Sawit,Duren Sawit,32,Pondok Kopi,5.15.4,Pos Pondok Kopi,1,Pos Pemadam,Dijaga,Jl. Raya Pondok Kopi,,13460,1991,380,170,2004,100000000,,,-6.220733,106.94351
5.15.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,5,Sektor Duren Sawit,Duren Sawit,33,Malaka Jaya,5.15.5,Pos Klender,1,Pos Pemadam,Dijaga,Jl. Bunga Rampai ,,13460,1977,400,170,2004,100000000,,,-6.222175,106.933034
5.15.6,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,5,Sektor Duren Sawit,Duren Sawit,34,Malaka Sari,5.15.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13460,,,,,,,,,
5.15.7,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,5,Sektor Duren Sawit,Duren Sawit,35,Klender,5.15.7,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13470,,,,,,,,,
5.16.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,6,Sektor Makasar,Makasar,38,Kebon Pala,5.16.1,Kantor Sektor Makasar,1,Kantor Sektor,Dijaga,Jl. Delima Raya,,13650,2007,500,216,,,,,-6.262653,106.880594
5.16.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,6,Sektor Makasar,Makasar,36,Pinang Ranti,5.16.2,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13560,,,,,,,,,
5.16.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,6,Sektor Makasar,Makasar,37,Makasar,5.16.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13570,,,,,,,,,
5.16.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,6,Sektor Makasar,Makasar,39,Halim Perdana Kusuma,5.16.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13610,,,,,,,,,
5.16.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,6,Sektor Makasar,Makasar,40,Cipinang Melayu,5.16.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13620,,,,,,,,,
5.17.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,7,Sektor Kramat Jati,Kramat Jati,41,Bale Kambang,5.17.1,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13530,,,,,,,,,
5.17.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,7,Sektor Kramat Jati,Kramat Jati,42,Batu Ampar,5.17.2,Pos Batu ampar,1,Pos Pemadam,Dijaga,Jl. Raya Batu Ampar,,13520,2007,399,105,,,,,-6.276557,106.860794
5.17.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,7,Sektor Kramat Jati,Kramat Jati,43,Kampung Tengah,5.17.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13540,,,,,,,,,
5.17.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,7,Sektor Kramat Jati,Kramat Jati,44,Dukuh,5.17.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13550,,,,,,,,,
5.17.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,7,Sektor Kramat Jati,Kramat Jati,45,Kramat Jati,5.17.5,Pos Kramat Jati,1,Pos Pemadam,Tidak Dijaga,Jl Raya Bogor (Polres Ciracas),,13510,1975,190,190,,,,Tidak Dijaga (status tanah...?),,
5.17.6,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,7,Sektor Kramat Jati,Kramat Jati,46,Cililitan,5.17.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13640,,,,,,,,,
5.17.7,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,7,Sektor Kramat Jati,Kramat Jati,47,Cawang,5.17.7,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13630,,,,,,,,,
5.18.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,8,Sektor Ciracas,Ciracas,48,Ciracas,5.18.1,Kantor Sektor Ciracas,1,Kantor Sektor,Dijaga,Jl. Raya Poncol,021 8703552,13740,2005,873,318,,,,,,
5.18.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,8,Sektor Ciracas,Ciracas,49,Susukan,5.18.2,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13750,,,,,,,,,
5.18.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,8,Sektor Ciracas,Ciracas,50,Cibubur,5.18.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13720,,,,,,,,,
5.18.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,8,Sektor Ciracas,Ciracas,51,Kelapa Dua Wetan,5.18.4,Pos Poncol,0,Belum ada Pos/Sektor,None,,,13730,,,,,,,,,
5.18.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,8,Sektor Ciracas,Ciracas,52,Rambutan,5.18.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13830,,,,,,,,,
5.18.6,7.1,Sudin DamkarPB Kota Administrasi Jakarta Timur,8,Sektor Ciracas,Ciracas,,Ciracas,5.18.6,Gedung Pos Jaga Yos Sudarso,1,Pos Pemadam,Dijaga,Jl. Raya Ciracas No. 113,,13740,1977,,336,2006,,,,,
5.18.7,7.3,Sudin DamkarPB Kota Administrasi Jakarta Timur,8,Sektor Ciracas,Ciracas,,Ciracas,5.18.7,Pos Jaga Bengkel Induk ,1,Pos Pemadam,Dijaga,Jl. Raya Poncol Nomor 48,021 8711302,,,,,,,,,,
5.19.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,9,Sektor Cipayung,Cipayung,53,Cipayung,5.19.1,Pos Cipayung,1,Pos Pemadam,Dijaga,Jl. Raya Hankam,,13840,1991,370,180,,,,,-6.327356,106.902097
5.19.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,9,Sektor Cipayung,Cipayung,54,Ceger,5.19.2,Belum Tersedia,1,Pos Pemadam,Dijaga,Kawasan TMII,021 6409444,13820,1977,400,135,,,,,,
5.19.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,9,Sektor Cipayung,Cipayung,55,Lubang Buaya,5.19.3,Pos Lubang Buaya,1,Pos Pemadam,Dijaga,Jl. Masjid Al Baido,,13810,1995,400,170,2002,,,,-6.286975,106.904725
5.19.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,9,Sektor Cipayung,Cipayung,56,Pondok Rangon,5.19.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13860,,,,,,,,,
5.19.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,9,Sektor Cipayung,Cipayung,57,Cilangkap,5.19.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13870,,,,,,,,,
5.19.6,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,9,Sektor Cipayung,Cipayung,58,Munjul,5.19.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13850,,,,,,,,,
5.19.7,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,9,Sektor Cipayung,Cipayung,59,Setu,5.19.7,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13880,,,,,,,,,
5.19.8,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,9,Sektor Cipayung,Cipayung,60,Bambu Apus,5.19.8,Pos Taman Mini,0,Belum ada Pos/Sektor,None,,,13890,,,,,,,,,
5.20.1,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,10,Sektor Pasar Rebo,Pasar Rebo,62,Pekayon,5.20.1,Pos Pekayon,0,Belum ada Pos/Sektor,None,,,13710,,,,,,,,,
5.20.2,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,10,Sektor Pasar Rebo,Pasar Rebo,61,Kalisari,5.20.2,Pos Pekayon,1,Pos Pemadam,Dijaga,Jl. Kalisari,,13790,1985,600,180,2005,200000000,,,,
5.20.3,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,10,Sektor Pasar Rebo,Pasar Rebo,63,Baru,5.20.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13780,,,,,,,,,
5.20.4,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,10,Sektor Pasar Rebo,Pasar Rebo,64,Cijantung,5.20.4,Pos Cijantung,0,Belum ada Pos/Sektor,None,,,13770,,,,,,,,,
5.20.5,5,Sudin DamkarPB Kota Administrasi Jakarta Timur,10,Sektor Pasar Rebo,Pasar Rebo,65,Gedong,5.20.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,13760,,,,,,,,,
0.1,0,Kantor Dinas Pemadam Kebakaran Provinsi DKI Jakarta,none,none,Gambir,,Duri Pulo ,0.1,Kantor Dinas Pemadam Kebakaran ,1,Kantor Dinas,Dijaga,Jl. K.H. Zainul Arifin No. 71,021 6342036,,,,,,,,,-6.161295,106.809519
6.11.1,6,Kabupaten Administrasi Kep. Seribu,1,Kep. Seribu Utara,Kep. Seribu Utara,1,Pulau Panggang,6.11.1,Belum Tersedia,0,Belum ada Pos/Sektor,None,Jl. Pulau Pramuka,,14530,,,,,,,Pembangunan Pondasi (TA. 2006),,
6.11.2,6,Kabupaten Administrasi Kep. Seribu,1,Kep. Seribu Utara,Kep. Seribu Utara,2,Pulau Kelapa,6.11.2,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,14540,,,,,,,,,
6.11.3,6,Kabupaten Administrasi Kep. Seribu,1,Kep. Seribu Utara,Kep. Seribu Utara,3,Pulau Harapan,6.11.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,14540,,,,,,,,,
6.11.4,6,Kabupaten Administrasi Kep. Seribu,2,Kep. Seribu Selatan,Kep. Seribu Selatan,4,Pulau Tidung,6.11.4,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,14520,,,,,,,,,
6.11.5,6,Kabupaten Administrasi Kep. Seribu,2,Kep. Seribu Selatan,Kep. Seribu Selatan,5,Pulau Pari,6.11.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,14510,,,,,,,,,
6.11.6,6,Kabupaten Administrasi Kep. Seribu,2,Kep. Seribu Selatan,Kep. Seribu Selatan,6,Pulau Untung Jawa,6.11.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,14510,,,,,,,,,
